planet_key,planet_name,planet_status,discovered,publication,detection_type,mass_detection_type,radius_detection_type,molecules,alternate_names,row_current,current_as_of,row_expired_date
6729,Kepler-9 b,Confirmed,2010.0,Published in a refereed paper,Primary Transit,,,,"2MASS J19021775+3824032 b, K00377.01, KIC 3323887 b, KOI-377 b, KOI-377.01, WISE J190217.77+382402.9  b",True,2022-05-01,
6730,Kepler-9 c,Confirmed,2010.0,Published in a refereed paper,Primary Transit,,,,"2MASS J19021775+3824032 c, K00377.02, KIC 3323887 c, KOI-377 c, KOI-377.02, WISE J190217.77+382402.9  c",True,2022-05-01,
6731,Kepler-9 d,Confirmed,2010.0,Published in a refereed paper,Primary Transit,,,,"2MASS J19021775+3824032 d, K00377.03, KIC 3323887 d, KOI-377 d, KOI-377.03, WISE J190217.77+382402.9  d",True,2022-05-01,
6732,Kepler-90 b,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"KOI-351 b, KIC 11442793 b, 2MASS J18574403+4918185 b, K00351.06, KOI-351.06, WISE J185744.03+491818.5  b",True,2022-05-01,
6733,Kepler-90 c,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"KOI-351 c, KIC 11442793 c, 2MASS J18574403+4918185 c, K00351.05, KOI-351.05, WISE J185744.03+491818.5  c",True,2022-05-01,
6734,Kepler-90 d,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"KOI-351 d, KIC 11442793 d, 2MASS J18574403+4918185 d, K00351.03, Kepler-90 d, WISE J185744.03+491818.5  d",True,2022-05-01,
6735,Kepler-90 e,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"KOI-351 e, KIC 11442793 e, 2MASS J18574403+4918185 e, K00351.04, KOI-351.04, WISE J185744.03+491818.5  e",True,2022-05-01,
6736,Kepler-90 f,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"KOI-351 f, KIC 11442793 f, 2MASS J18574403+4918185 f, K00351.07, KOI-351.07, Kepler-90 f, WISE J185744.03+491818.5  f",True,2022-05-01,
6737,Kepler-90 g,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"KOI-351 g, KIC 11442793 g, 2MASS J18574403+4918185 g, K00351.02, KOI-351.02, WISE J185744.03+491818.5  g",True,2022-05-01,
6738,Kepler-90 h,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"KOI-351 h, KIC 11442793, 2MASS J18574403+4918185 h, K00351.01, KIC 11442793 h, KOI-351.01, WISE J185744.03+491818.5  h",True,2022-05-01,
