anime_key,anime_id,anime_title,status,rating,airing,aired_from,aired_to,is_current,current_as_of,expired
1640,21595,Yu☆Gi☆Oh! Zexal Second: Iza! Saishuu Kessen e!! Special,Finished Airing,PG-13 - Teens 13 or older,False,2013-12-05,,True,2022-03-11,
1641,21599,Fight Ippatsu! Juuden-chan!! OVA,Finished Airing,R+ - Mild Nudity,False,2014-01-25,,True,2022-03-11,
1642,21603,Mekakucity Actors,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-13,2014-06-29,True,2022-03-11,
1643,21607,Picotopia,Finished Airing,G - All Ages,False,2013-07-03,,True,2022-03-11,
1644,21635,GJ-bu@,Finished Airing,PG-13 - Teens 13 or older,False,2014-05-06,,True,2022-03-11,
1645,21639,Yu☆Gi☆Oh! Arc-V,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-06,2017-03-26,True,2022-03-11,
1646,21641,Planet:Valkyrie,Finished Airing,PG-13 - Teens 13 or older,False,2013-12-23,,True,2022-03-11,
1647,21647,Tamako Love Story,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-26,,True,2022-03-11,
1648,21649,Mitsuwano,Finished Airing,PG-13 - Teens 13 or older,False,2014-03-12,,True,2022-03-11,
1649,21653,IS: Infinite Stratos 2 - World Purge-hen,Finished Airing,R+ - Mild Nudity,False,2014-11-26,,True,2022-03-11,
1650,21659,Kill la Kill Specials,Finished Airing,R - 17+ (violence & profanity),False,2014-09-03,,True,2022-03-11,
1651,21663,Last Orders,Finished Airing,PG-13 - Teens 13 or older,False,1997-10-01,,True,2022-03-11,
1652,21667,Non Non Biyori: Okinawa e Ikukoto ni Natta,Finished Airing,PG-13 - Teens 13 or older,False,2014-07-23,,True,2022-03-11,
1653,21671,Keroro,Finished Airing,PG-13 - Teens 13 or older,False,2014-03-22,2014-09-06,True,2022-03-11,
1654,21677,Captain Earth,Finished Airing,PG-13 - Teens 13 or older,False,2014-04-06,2014-09-21,True,2022-03-11,
1655,21679,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA",Finished Airing,PG-13 - Teens 13 or older,False,2014-06-30,,True,2022-03-11,
1656,21681,Hanayamata,Finished Airing,PG-13 - Teens 13 or older,False,2014-07-08,2014-09-23,True,2022-03-11,
1657,21695,Pokemon XY SP: Road to Kalos,Finished Airing,PG - Children,False,2013-10-10,,True,2022-03-11,
1658,21701,Kindaichi Shounen no Jikenbo: Shinigami Byouin Satsujin Jiken,Finished Airing,R - 17+ (violence & profanity),False,1997-04-27,,True,2022-03-11,
1659,21703,Pokemon XY: New Year Special,Finished Airing,PG - Children,False,2013-12-31,,True,2022-03-11,
1660,21707,Pretty Rhythm Movie: All Star Selection - Prism Show☆Best Ten,Finished Airing,PG - Children,False,2014-03-08,,True,2022-03-11,
1661,21711,Il torero Camomillo,Finished Airing,G - All Ages,False,1970-02-01,,True,2022-03-11,
1662,21713,Usagi no Mofy,Finished Airing,G - All Ages,False,2012-09-30,2012-12-20,True,2022-03-11,
1663,21715,Makkuramori no Uta,Finished Airing,G - All Ages,False,1985-08-01,,True,2022-03-11,
1664,21717,Koisuru Niwatori,Finished Airing,G - All Ages,False,1985-02-01,,True,2022-03-11,
1665,21729,Cardfight!! Vanguard: Legion Mate-hen,Finished Airing,PG-13 - Teens 13 or older,False,2014-03-09,2014-10-19,True,2022-03-11,
1666,21737,"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode",Finished Airing,G - All Ages,False,2014-06-07,,True,2022-03-11,
1667,21743,Donten ni Warau,Finished Airing,PG-13 - Teens 13 or older,False,2014-10-04,2014-12-20,True,2022-03-11,
1668,21749,Kimama ni Idol,Finished Airing,None,False,1990-02-25,,True,2022-03-11,
1669,21755,Shin Tennis no Ouji-sama OVA vs. Genius 10,Finished Airing,PG-13 - Teens 13 or older,False,2014-10-29,2015-06-26,True,2022-03-11,
1670,21761,Ari to Hato,Finished Airing,G - All Ages,False,1918-07-18,,True,2022-03-11,
1671,21763,Ari to Hato (1953),Finished Airing,G - All Ages,False,1953-08-01,,True,2022-03-11,
1672,21765,Ari to Hato (1959),Finished Airing,G - All Ages,False,1959-09-05,,True,2022-03-11,
