star_key,star_name,star_detected_disc,star_age,star_metallicity,star_sp_type,star_teff,star_magnetic_field,star_alternate_names,row_current,current_as_of,row_expired_date
3388,2MASS J19444445+3915456,,,-0.42,,5885.0,,4178389,True,2022-05-01,
3389,K2-193,,,0.0,,5817.0,,"2MASS J13405689-1100336, EPIC 212580872, WISE J134056.90-110033.4",True,2022-05-01,
3390,2MASS J19362190+4513036,,,0.14,,5066.0,,8959240,True,2022-05-01,
3391,2MASS J19043429+4314108,,,-0.4,,6140.0,,7592529,True,2022-05-01,
3392,2MASS J19294261+3719149,,,-0.12,,5718.0,,1872821,True,2022-05-01,
3393,Kepler-927,,4.37,0.03,,5743.0,,"2MASS J19173204+4123337, KIC 6034945, KOI-1683, WISE J191732.03+412333.6",True,2022-05-01,
3394,HD 110113,,,,,5732.0,,TOI-755,True,2022-05-01,
3395,2MASS J19364823+4815002,,,-0.26,,5357.0,,10866969,True,2022-05-01,
3396,Kepler-760,,4.57,0.08,,5322.0,,"2MASS J19102237+4410459, KIC 8222813, KOI-1069, WISE J191022.36+441045.9",True,2022-05-01,
3397,2MASS J19035232+4840445,,,-0.02,,5751.0,,11073656,True,2022-05-01,
3398,Kepler-393,,,-0.217,,6189.0,,"2MASS J19235886+4511319, KIC 8883329, KOI-2595, WISE J192358.86+451131.8",True,2022-05-01,
3399,Kepler-1698,,,-0.22,,4945.83,,"4164922, 2MASS J19332279+3915281, KIC 4164922, KOI-3864, WISE J193322.80+391527.9",True,2022-05-01,
3400,2MASS J19214575+3831248,,,-0.28,,5839.0,,3440118,True,2022-05-01,
3401,2MASS J19253282+4215378,,,-0.36,,6770.0,,6775985,True,2022-05-01,
3402,2MASS J19200622+4820094,,,-0.16,,6528.0,,10916600,True,2022-05-01,
3403,Kepler-1413,,4.68,-0.05,,5196.0,,"2MASS J19372199+4629555, KIC 9716391, KOI-3025, WISE J193722.00+462955.7",True,2022-05-01,
3404,2MASS J19365312+3959222,,,-0.22,,6117.0,,4844367,True,2022-05-01,
3405,HD 106315,,4.48,-0.311,F5 V,6327.0,,"2MASS J12135339-0023365, BD+00 2910, EPIC 201437844, GSC 04940-00868, K2-109, SAO 138659, TYC 4940-868-1, WISE J121353.39-002336.4",True,2022-05-01,
3406,EPIC 211822797,,0.8,,M0,4148.21,,"2MASS J08413848+1738240, K2-103, WISE J084138.46+173823.9",True,2022-05-01,
