id,title,status,rating,score,favorites,load_date,airing,aired_from,aired_to
38864,Lion meets HachiClo,Finished Airing,G - All Ages,5.7,2,2022-03-11,False,2018-12-21,
38867,Noise,Finished Airing,None,,0,2022-03-11,False,2006-01-01,
38868,Blow Up 2,Finished Airing,None,,0,2022-03-11,False,2005-01-01,
38869,4.Eyes Re-Mix 2005,Finished Airing,None,,0,2022-03-11,False,2005-01-01,
38870,Madonna no Yuuwaku,Finished Airing,R+ - Mild Nudity,,0,2022-03-11,False,2005-01-01,
38871,Rainbow Scene,Finished Airing,None,,0,2022-03-11,False,1971-01-01,
38872,Pussy,Finished Airing,R+ - Mild Nudity,,3,2022-03-11,False,1971-01-01,
38873,She,Finished Airing,None,,0,2022-03-11,False,1971-01-01,
38874,Green Red,Finished Airing,R+ - Mild Nudity,,0,2022-03-11,False,1971-01-01,
38875,Jam Pot,Finished Airing,R+ - Mild Nudity,,0,2022-03-11,False,1971-01-01,
38876,U.F.O,Finished Airing,None,,0,2022-03-11,False,1973-01-01,
38877,Get Back on the Hill,Finished Airing,None,,0,2022-03-11,False,1974-01-01,
38878,Sweet Touch of Love,Finished Airing,None,,0,2022-03-11,False,1974-01-01,
38879,Ningen Moyou,Finished Airing,None,,0,2022-03-11,False,1975-01-01,
38881,Jimoto ga Japan,Finished Airing,G - All Ages,,4,2022-03-11,False,2019-04-08,2020-03-23
38882,Ryouma! The Prince of Tennis Shinsei Movie: Tennis no Ouji-sama,Finished Airing,PG-13 - Teens 13 or older,,6,2022-03-11,False,2021-09-03,
38883,Haikyuu!! To the Top,Finished Airing,PG-13 - Teens 13 or older,8.35,4516,2022-03-11,False,2020-01-11,2020-04-04
38886,Krosna,Finished Airing,G - All Ages,,1,2022-03-11,False,2017-06-05,
38887,Lost,Finished Airing,G - All Ages,5.98,0,2022-03-11,False,2017-11-09,
38888,Deeper,Finished Airing,PG - Children,,0,2022-03-11,False,2017-02-27,
38889,Kono Oto Tomare! 2nd Season,Finished Airing,PG-13 - Teens 13 or older,8.43,1386,2022-03-11,False,2019-10-06,2019-12-29
38891,Sora no Method: Mou Hitotsu no Negai,Finished Airing,PG-13 - Teens 13 or older,7.19,3,2022-03-11,False,2019-10-11,
38893,Screw,Finished Airing,G - All Ages,4.83,0,2022-03-11,False,1982-01-01,
38895,Double Decker! Doug & Kirill: Extra,Finished Airing,R - 17+ (violence & profanity),7.15,2,2022-03-11,False,2019-02-10,2019-04-10
38896,Swap,Finished Airing,G - All Ages,,0,2022-03-11,False,2013-05-19,
38897,Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm,Finished Airing,PG-13 - Teens 13 or older,6.58,19,2022-03-11,False,2019-06-14,
38898,Yume wo Misete,Finished Airing,G - All Ages,5.36,0,2022-03-11,False,2017-02-01,
38899,Nissin Men-nashi Donbei x Himote House,Finished Airing,G - All Ages,5.31,0,2022-03-11,False,2018-12-02,2018-12-23
38901,Days of Delight,Finished Airing,G - All Ages,5.51,0,2022-03-11,False,2018-09-04,
